DPCh_plate1_E04_S52	Klamath
DPCh_plate1_C04_S28	Klamath
DPCh_plate1_B01_S13	Klamath
DPCh_plate1_E03_S51	Klamath
DPCh_plate1_C03_S27	Klamath
DPCh_plate1_A01_S1	Klamath
DPCh_plate1_F04_S64	Klamath
DPCh_plate1_H02_S86	Klamath
DPCh_plate1_G01_S73	Klamath
DPCh_plate1_F02_S62	Klamath
DPCh_plate1_D01_S37	Klamath
DPCh_plate1_F03_S63	Klamath
DPCh_plate1_D02_S38	Klamath
DPCh_plate1_G11_S83	Klamath
DPCh_plate1_E12_S60	Klamath
DPCh_plate1_H11_S95	Klamath
DPCh_plate1_A12_S12	Klamath
DPCh_plate1_E11_S59	Klamath
DPCh_plate1_H12_S96	Klamath
DPCh_plate1_B04_S16	Klamath
DPCh_plate1_D12_S48	Klamath
DPCh_plate1_G09_S81	Klamath
DPCh_plate1_H01_S85	Klamath
DPCh_plate1_D11_S47	Klamath
DPCh_plate1_B10_S22	Klamath
DPCh_plate1_C12_S36	Klamath
DPCh_plate1_C11_S35	Klamath
DPCh_plate1_C10_S34	Klamath
DPCh_plate1_H09_S93	Klamath
DPCh_plate1_A02_S2	Klamath
DPCh_plate1_B11_S23	Klamath
DPCh_plate1_G12_S84	Klamath
DPCh_plate1_F12_S72	Klamath
DPCh_plate1_B12_S24	Klamath
DPCh_plate1_G10_S82	Klamath
DPCh_plate1_G02_S74	Klamath
DPCh_plate1_H10_S94	Klamath
DPCh_plate1_D09_S45	Klamath
DPCh_plate1_F10_S70	Klamath
DPCh_plate1_F11_S71	Klamath
DPCh_plate1_E02_S50	Klamath
DPCh_plate1_A10_S10	Klamath
DPCh_plate1_E09_S57	Klamath
DPCh_plate1_F09_S69	Klamath
DPCh_plate1_D10_S46	Klamath
DPCh_plate1_B02_S14	Klamath
DPCh_plate1_E10_S58	Klamath
DPCh_plate1_A09_S9	Klamath
DPCh_plate1_B09_S21	Klamath
DPCh_plate1_A11_S11	Klamath
DPCh_plate1_C09_S33	Klamath
DPCh_plate1_C02_S26	Klamath
DPCh_plate2_C04_S116	Sacramento
DPCh_plate1_F05_S65	Sacramento
DPCh_plate2_E04_S132	Sacramento
DPCh_plate2_F01_S137	Sacramento
DPCh_plate2_D04_S124	Sacramento
DPCh_plate2_E02_S130	Sacramento
DPCh_plate2_G02_S146	Sacramento
DPCh_plate2_B04_S108	Sacramento
DPCh_plate2_F02_S138	Sacramento
DPCh_plate1_C06_S30	Sacramento
DPCh_plate1_H08_S92	Sacramento
DPCh_plate1_B06_S18	Sacramento
DPCh_plate1_D05_S41	Sacramento
DPCh_plate1_B08_S20	Sacramento
DPCh_plate2_F03_S139	Sacramento
DPCh_plate2_G03_S147	Sacramento
DPCh_plate2_H04_S156	Sacramento
DPCh_plate1_F07_S67	Sacramento
DPCh_plate2_C03_S115	Sacramento
DPCh_plate2_B03_S107	Sacramento
DPCh_plate2_D01_S121	Sacramento
DPCh_plate1_G05_S77	Sacramento
DPCh_plate1_G06_S78	Sacramento
DPCh_plate2_H01_S153	Sacramento
DPCh_plate1_F06_S66	Sacramento
DPCh_plate1_F08_S68	Sacramento
DPCh_plate1_G07_S79	Sacramento
DPCh_plate1_D08_S44	Sacramento
DPCh_plate2_H02_S154	Sacramento
DPCh_plate2_A03_S99	Sacramento
DPCh_plate1_B05_S17	Sacramento
DPCh_plate1_E05_S53	Sacramento
DPCh_plate2_F04_S140	Sacramento
DPCh_plate1_E07_S55	Sacramento
DPCh_plate2_G01_S145	Sacramento
DPCh_plate1_D06_S42	Sacramento
DPCh_plate1_E06_S54	Sacramento
DPCh_plate1_A07_S7	Sacramento
DPCh_plate1_C05_S29	Sacramento
DPCh_plate2_G04_S148	Sacramento
DPCh_plate2_D02_S122	Sacramento
DPCh_plate1_H05_S89	Sacramento
DPCh_plate2_E01_S129	Sacramento
DPCh_plate1_A06_S6	Sacramento
DPCh_plate1_A08_S8	Sacramento
DPCh_plate1_C07_S31	Sacramento
DPCh_plate1_E08_S56	Sacramento
DPCh_plate1_B07_S19	Sacramento
DPCh_plate1_C08_S32	Sacramento
DPCh_plate1_H07_S91	Sacramento
DPCh_plate1_A05_S5	Sacramento
DPCh_plate1_D07_S43	Sacramento
